"Country" "Year" "Child_mortality" "Fertility" "GDPPPP_percapita" "Gini" "Life_exp" "Population" "Population_density" "Population_over_60" "Urban_population"
"1" "Afghanistan" "1960" 35.7 7.45 1540 34.9 45 9 13.3 4.79 8.4
"2" "Albania" "1960" 18.8 6.49 2690 26.6 62.5 1.64 62.5 8.02 30.7
"3" "Algeria" "1960" 24.3 7.52 6480 39.8 52.4 11.1 4.78 5.53 30.5
"4" "Angola" "1960" 30.8 7.48 2320 56 46.3 5.45 4.3 5.08 10.4
"5" "Antigua and Barbuda" "1960" 8.36 4.43 3260 40.5 63.8 0.0541 126 6.58 39.7
"6" "Argentina" "1960" 7.33 3.11 10300 41.4 65.3 20.5 7.29 8.41 73.6
"7" "Armenia" "1960" 11.3 4.55 6740 41 59.2 1.87 66.9 8.07 51.3
"8" "Australia" "1960" 2.49 3.44 16300 34.6 71.1 10.2 1.34 12.4 81.5
"9" "Austria" "1960" 4.28 2.7 12100 46.2 69 7.07 85.4 18.2 64.7
"10" "Azerbaijan" "1960" 14 5.88 5560 40.5 48.6 3.9 50 7.22 52.7
"11" "Bahamas" "1960" 3.56 4.5 19200 39.7 61.9 0.11 21.4 5.39 59.7
"12" "Bahrain" "1960" 19.9 7.09 25600 36.7 57.3 0.162 205 3.79 82.3
"13" "Bangladesh" "1960" 26 6.73 1010 24.6 43.8 48 387 5.03 5.13
"14" "Barbados" "1960" 8.37 4.33 6180 48.2 66.1 0.231 541 8.5 36.8
"15" "Belarus" "1960" 4.57 2.69 5360 23.4 71 8.12 41.3 10.7 32.4
"16" "Belgium" "1960" 3.39 2.6 12900 44.4 70.1 9.17 301 17.6 92.5
"17" "Belize" "1960" 13.7 6.5 2430 60.8 63.9 0.0921 4.01 6.38 54
"18" "Benin" "1960" 31.1 6.28 1710 35.8 44.8 2.43 22.3 9.03 9.28
"19" "Bhutan" "1960" 34.1 6.67 1080 41.3 42.2 0.223 5.76 4.08 3.6
"20" "Bolivia" "1960" 29.1 6.7 2980 47.8 43 3.66 3.42 7.2 36.8
"21" "Bosnia and Herzegovina" "1960" 14.8 3.8 3340 31.2 61.3 3.23 63.7 6.15 19
"22" "Botswana" "1960" 17 6.62 822 53.6 54.4 0.503 0.905 6.04 3.06
"23" "Brazil" "1960" 16.9 6.21 3950 55.3 52.4 72.2 8.74 4.39 46.1
"24" "Brunei" "1960" 9.96 6.49 72200 34.7 55.8 0.0817 14.8 5.03 43.4
"25" "Bulgaria" "1960" 6.68 2.25 5400 22.5 69.4 7.89 72.8 11.3 37.1
"26" "Burkina Faso" "1960" 34.3 6.29 745 47.7 39.5 4.83 17.5 4.74 4.7
"27" "Burundi" "1960" 25.4 6.95 852 35.1 43.9 2.8 106 5.23 2.08
"28" "Cambodia" "1960" 25.6 6.97 1240 42.7 49.4 5.72 30.6 4.52 10.3
"29" "Cameroon" "1960" 27.6 5.65 2570 38.2 27.5 5.18 11 6.18 13.9
"30" "Canada" "1960" 3.26 3.88 16200 33 71.2 17.8 1.97 10.9 69.1
"31" "Cape Verde" "1960" 23.1 6.89 1320 52.7 56.8 0.202 52.1 6.85 16.7
"32" "Central African Republic" "1960" 28.2 5.84 1820 66.7 45.8 1.5 2.7 6.9 20.1
"33" "Chad" "1960" 29.3 6.25 1130 25.9 47.4 3 2.4 6.49 6.7
"34" "Chile" "1960" 15.7 5.1 7880 63 54.2 8.13 10.8 5.46 67.8
"35" "China" "1960" 30.9 3.99 1230 30.4 27.8 660 68.1 6.45 16.2
"36" "Colombia" "1960" 13.6 6.81 4630 59.4 59.3 16.1 14 4.76 46.3
"37" "Comoros" "1960" 32.5 6.79 1040 46.6 47.1 0.191 105 5.61 12.6
"38" "Congo, Dem. Rep." "1960" 27.4 6 2780 42.4 47.5 15.2 6.74 4.86 22.3
"39" "Congo, Rep." "1960" 18.3 5.88 2320 42.3 43.7 1.02 3.09 5.78 31.6
"40" "Costa Rica" "1960" 10.6 6.45 5030 52.5 65.3 1.33 26.4 4.84 34.3
"41" "Cote d'Ivoire" "1960" 31.8 7.35 2330 47.3 45.6 3.5 11.7 4.06 17.7
"42" "Croatia" "1960" 7.03 2.33 5890 21.8 64.7 4.19 75.4 11.8 30.2
"43" "Cuba" "1960" 4.9 4.18 3480 37.8 69.3 7.14 68.1 6.9 58.4
"44" "Cyprus" "1960" 5.72 3.5 4060 29.9 65 0.573 63.4 9.42 35.6
"45" "Czech Republic" "1960" 2.84 2.28 9520 20.5 70.4 9.59 124 14.5 59.5
"46" "Denmark" "1960" 2.5 2.54 16300 33 72.5 4.58 108 15.5 73.7
"47" "Djibouti" "1960" 25 6.46 4750 36.2 56.2 0.0836 3.71 3.95 50.3
"48" "Dominican Republic" "1960" 14.7 7.56 2410 42.5 61.9 3.29 68.3 4.16 30.2
"49" "Ecuador" "1960" 17.7 6.72 4240 41.9 56.1 4.54 18.6 6.85 33.9
"50" "Egypt" "1960" 31.5 6.72 1840 25.3 46.9 26.6 27.2 5.94 37.9
"51" "El Salvador" "1960" 18.5 6.67 3270 43.7 53.5 2.77 134 5.08 38.4
"52" "Equatorial Guinea" "1960" 29.8 5.65 1280 42.6 40.4 0.255 9.53 8.05 25.5
"53" "Estonia" "1960" 4.51 1.95 7570 42.7 69.4 1.22 28 15.3 57.5
"54" "Eswatini" "1960" 21.1 6.72 910 61.3 45.6 0.337 19.9 4.61 3.91
"55" "Ethiopia" "1960" 27.6 6.88 815 51.9 38.4 22.2 21.7 4.53 6.43
"56" "Fiji" "1960" 7.7 6.46 4560 43.1 64.6 0.393 22 4.09 29.7
"57" "Finland" "1960" 2.69 2.71 11500 34.1 69.2 4.43 14.7 11.3 55.3
"58" "France" "1960" 2.85 2.77 13700 51.7 71.2 45.7 82.8 16.8 61.9
"59" "Gabon" "1960" 22.9 4.91 5760 62.7 50 0.501 1.99 11.6 17.4
"60" "Gambia" "1960" 36.1 5.57 1360 41.5 53.9 0.365 39.5 4.58 12.1
"61" "Georgia" "1960" 10.3 2.94 5510 29.6 59.3 4.01 58.3 10.6 43.1
"62" "Germany" "1960" 4.05 2.4 14300 33.3 69.4 73.4 210 17.2 71.4
"63" "Ghana" "1960" 20.9 6.75 2540 39 51 6.64 30.4 4.42 23.3
"64" "Greece" "1960" 4.63 2.33 5830 46.8 72.4 8.27 64.9 12 55.9
"65" "Grenada" "1960" 9.41 6.74 2140 41.6 64.1 0.0899 276 7.43 30.3
"66" "Guatemala" "1960" 22.1 6.9 4060 55.8 47.9 4.21 38.2 4.02 31.1
"67" "Guinea" "1960" 34.8 6.11 1570 52.2 41.1 3.49 14.3 6.8 10.5
"68" "Guinea-Bissau" "1960" 32.4 5.92 1110 38.8 37.4 0.616 20.6 6.25 13.6
"69" "Guyana" "1960" 9.21 6.37 3510 43.8 58.9 0.572 2.91 5.3 29
"70" "Haiti" "1960" 28.3 6.32 2100 59.3 45.4 3.87 142 5.45 15.6
"71" "Honduras" "1960" 20.9 7.46 2500 65.9 49 2.04 19.1 5.31 22.7
"72" "Hong Kong, China" "1960" 5.36 5.01 5920 48 67.5 3.05 2830 4.62 85.2
"73" "Hungary" "1960" 5.35 2.02 6760 22.3 68.1 10 110 14 55.9
"74" "Iceland" "1960" 2.14 4.13 12700 25.8 73.4 0.176 1.75 11.6 80.3
"75" "India" "1960" 24.2 5.91 1400 35.1 45.8 451 150 5.63 17.9
"76" "Indonesia" "1960" 22.3 5.67 1880 39.6 44.8 87.8 46.3 4.36 14.6
"77" "Iran" "1960" 32.7 6.93 4000 58.9 44.5 21.9 13.1 6.49 33.7
"78" "Iraq" "1960" 19.2 6.25 5070 45.9 60.5 7.29 16.3 6.18 42.9
"79" "Ireland" "1960" 3.53 3.86 7930 43 70.1 2.79 41.1 15.8 45.2
"80" "Israel" "1960" 4.01 3.84 8640 34.9 71.8 2.06 87.9 8.67 76.8
"81" "Italy" "1960" 5.2 2.39 11000 42 69.9 49.7 167 13.9 59.4
"82" "Jamaica" "1960" 8.24 5.42 4920 43.3 65.1 1.63 152 6.72 33.8
